Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2019,2,9,0,0,0,0,0,0,0,0,0,0,0,0,247.2202736,247.2202736,462.9991161,462.9991161,548.455262,548.455262,652.6751335,652.6751335,493.9001638,493.9001638,562.0341953,562.0341953,683.4287394,683.4287394,548.779114,548.779114,682.89533,682.89533,662.7176352,662.7176352,544.0957991,544.0957991,397.5215416,397.5215416,98.9388045,98.9388045,0,0,0,0,0,0,0,0,0,0
2019,2,10,0,0,0,0,0,0,0,0,0,0,0,0,305.028526,305.028526,593.7102873,593.7102873,759.5713646,759.5713646,807.8609716,807.8609716,837.4013659,837.4013659,849.1458011,849.1458011,842.7244987,842.7244987,841.8939158,841.8939158,818.6854135,818.6854135,767.1871985,767.1871985,661.6063351,661.6063351,442.7017245,442.7017245,113.9381281,113.9381281,0,0,0,0,0,0,0,0,0,0
2019,2,11,0,0,0,0,0,0,0,0,0,0,0,0,294.6299948,294.6299948,515.812722,515.812722,709.6789599,709.6789599,758.5144028,758.5144028,807.4402184,807.4402184,798.3899866,798.3899866,820.7097087,820.7097087,811.692785,811.692785,794.443966,794.443966,750.3748081,750.3748081,642.7009232,642.7009232,430.5852794,430.5852794,100.9489957,100.9489957,0,0,0,0,0,0,0,0,0,0
2019,2,12,0,0,0,0,0,0,0,0,0,0,0,0,281.8449814,281.8449814,559.8000621,559.8000621,741.3843401,741.3843401,803.7980115,803.7980115,813.7568375,813.7568375,825.4200915,825.4200915,781.8377541,781.8377541,761.6821626,761.6821626,719.9049688,719.9049688,626.463639,626.463639,512.834235,512.834235,327.144964,327.144964,44.70757455,44.70757455,0,0,0,0,0,0,0,0,0,0
2019,2,13,0,0,0,0,0,0,0,0,0,0,0,0,240.5893115,240.5893115,549.7740788,549.7740788,748.7335036,748.7335036,805.1144197,805.1144197,839.9650719,839.9650719,851.2516366,851.2516366,842.0535866,842.0535866,847.0534018,847.0534018,828.7557182,828.7557182,790.9179063,790.9179063,685.8958384,685.8958384,440.4749818,440.4749818,92.15339857,92.15339857,0,0,0,0,0,0,0,0,0,0
2019,2,14,0,0,0,0,0,0,0,0,0,0,0,0,277.4742541,277.4742541,553.0317931,553.0317931,732.4143361,732.4143361,794.0984794,794.0984794,802.0285584,802.0285584,835.1761724,835.1761724,814.8629892,814.8629892,797.9413207,797.9413207,755.4927182,755.4927182,713.4960041,713.4960041,614.2701803,614.2701803,381.8748077,381.8748077,80.01256802,80.01256802,0,0,0,0,0,0,0,0,0,0
2019,2,15,0,0,0,0,0,0,0,0,0,0,0,0,276.0835069,276.0835069,561.2400951,561.2400951,717.1949063,717.1949063,789.494833,789.494833,828.3360531,828.3360531,810.6145698,810.6145698,769.1639145,769.1639145,710.4178136,710.4178136,726.1858411,726.1858411,671.453384,671.453384,591.5292807,591.5292807,381.1188394,381.1188394,67.53476599,67.53476599,0,0,0,0,0,0,0,0,0,0
2019,2,16,0,0,0,0,0,0,0,0,0,0,0,0,185.9204283,185.9204283,443.8372941,443.8372941,593.5051441,593.5051441,725.5229979,725.5229979,761.1736816,761.1736816,784.9204284,784.9204284,680.6521221,680.6521221,747.7492054,747.7492054,703.6126534,703.6126534,631.2349891,631.2349891,512.2820819,512.2820819,362.3411037,362.3411037,58.31889731,58.31889731,0,0,0,0,0,0,0,0,0,0
2019,2,17,0,0,0,0,0,0,0,0,0,0,0,0,249.1817613,249.1817613,516.4124866,516.4124866,698.2241054,698.2241054,728.0316687,728.0316687,780.0412222,780.0412222,736.2937528,736.2937528,668.921386,668.921386,688.6635535,688.6635535,659.9084246,659.9084246,651.139497,651.139497,549.4230449,549.4230449,365.2002433,365.2002433,45.00695656,45.00695656,0,0,0,0,0,0,0,0,0,0
2019,2,18,0,0,0,0,0,0,0,0,0,0,0,0,203.5516112,203.5516112,440.6914793,440.6914793,637.5172383,637.5172383,716.954632,716.954632,744.1158192,744.1158192,692.2381832,692.2381832,586.1083647,586.1083647,592.2091801,592.2091801,611.4897832,611.4897832,542.2890715,542.2890715,443.8414593,443.8414593,300.1191674,300.1191674,23.1057714,23.1057714,0,0,0,0,0,0,0,0,0,0
2019,2,19,0,0,0,0,0,0,0,0,0,0,0,0,160.4209808,160.4209808,487.3015696,487.3015696,738.5119297,738.5119297,751.4669486,751.4669486,815.9247963,815.9247963,808.6017852,808.6017852,828.2472959,828.2472959,814.8295566,814.8295566,791.7474738,791.7474738,741.9314401,741.9314401,634.7074651,634.7074651,391.8970063,391.8970063,51.48182371,51.48182371,0,0,0,0,0,0,0,0,0,0
2019,2,20,0,0,0,0,0,0,0,0,0,0,0,0,220.1976103,220.1976103,528.1124854,528.1124854,727.0889233,727.0889233,801.9650913,801.9650913,807.1393079,807.1393079,815.1243549,815.1243549,803.4872773,803.4872773,804.9749732,804.9749732,789.4376989,789.4376989,746.9697017,746.9697017,639.7838161,639.7838161,394.0360017,394.0360017,44.00423431,44.00423431,0,0,0,0,0,0,0,0,0,0
2019,2,21,0,0,0,0,0,0,0,0,0,0,0,0,241.2814296,241.2814296,546.4830995,546.4830995,719.0334567,719.0334567,764.7940714,764.7940714,756.3478865,756.3478865,746.2474368,746.2474368,758.5735013,758.5735013,727.9982665,727.9982665,649.7866851,649.7866851,625.3343295,625.3343295,503.1281191,503.1281191,288.7437759,288.7437759,34.43625099,34.43625099,0,0,0,0,0,0,0,0,0,0
