Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2018,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2120848725,0.2120848725,0.6272425885,0.6272425885,0.8878162152,0.8878162152,0.9620489355,0.9620489355,0.9554929024,0.9554929024,0.9510333946,0.9510333946,0.9318753589,0.9318753589,0.8581743449,0.8581743449,0.6795572725,0.6795572725,0.3524549288,0.3524549288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2226888997,0.2226888997,0.6342149672,0.6342149672,0.8904257234,0.8904257234,0.9631101335,0.9631101335,0.9628954175,0.9628954175,0.9255927287,0.9255927287,0.8953951941,0.8953951941,0.8666227571,0.8666227571,0.5555800169,0.5555800169,0.1746690375,0.1746690375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2347796308,0.2347796308,0.6344136776,0.6344136776,0.8732584153,0.8732584153,0.9498017728,0.9498017728,0.9558915311,0.9558915311,0.9296283411,0.9296283411,0.9141116177,0.9141116177,0.3381616733,0.3381616733,0.6256977009,0.6256977009,0.4149879968,0.4149879968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2600463496,0.2600463496,0.6439552988,0.6439552988,0.8311256752,0.8311256752,0.9024854501,0.9024854501,0.9220814741,0.9220814741,0.9425935388,0.9425935388,0.9200528968,0.9200528968,0.8615213162,0.8615213162,0.690314208,0.690314208,0.4226106638,0.4226106638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676710399,0.0676710399,0.2088195396,0.2088195396,0.0515104203,0.0515104203,0.161225284,0.161225284,0.2241599,0.2241599,0.415712575,0.415712575,0.1970356318,0.1970356318,0.1751672227,0.1751672227,0.0585264065,0.0585264065,0.1001042877,0.1001042877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2578260078,0.2578260078,0.6268841247,0.6268841247,0.7981153921,0.7981153921,0.9446578517,0.9446578517,0.9657173263,0.9657173263,0.9201009135,0.9201009135,0.5204826709,0.5204826709,0.1104031425,0.1104031425,0.1268871446,0.1268871446,0.1153254018,0.1153254018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2920849248,0.2920849248,0.6884220302,0.6884220302,0.7359066629,0.7359066629,0.4936697558,0.4936697558,0.9794707217,0.9794707217,0.9906289032,0.9906289032,0.9628534407,0.9628534407,0.8924935595,0.8924935595,0.7141104298,0.7141104298,0.3935735816,0.3935735816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315432186,0.315432186,0.6895610413,0.6895610413,0.9353232959,0.9353232959,0.9884508402,0.9884508402,0.9737814041,0.9737814041,0.9776184068,0.9776184068,0.9289306402,0.9289306402,0.8709509993,0.8709509993,0.6574409285,0.6574409285,0.3758310805,0.3758310805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1120559417,0.1120559417,0.56385569,0.56385569,0.8141558695,0.8141558695,0.9790312235,0.9790312235,0.9777739324,0.9777739324,0.8246507771,0.8246507771,0.6933916016,0.6933916016,0.6624313372,0.6624313372,0.5998148188,0.5998148188,0.2413168398,0.2413168398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3255076275,0.3255076275,0.6939491785,0.6939491785,0.9165248313,0.9165248313,0.9796533259,0.9796533259,0.964399939,0.964399939,0.9484947538,0.9484947538,0.9107581032,0.9107581032,0.8600217273,0.8600217273,0.6981028696,0.6981028696,0.4314049568,0.4314049568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3174903584,0.3174903584,0.655232163,0.655232163,0.8941146496,0.8941146496,0.96290337,0.96290337,0.9645914015,0.9645914015,0.9627343554,0.9627343554,0.9225852965,0.9225852965,0.7840853726,0.7840853726,0.0522720025,0.0522720025,0.095482379,0.095482379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3959208605,0.3959208605,0.7333045032,0.7333045032,0.9462853843,0.9462853843,0.7523853298,0.7523853298,0.9465876778,0.9465876778,0.9666725253,0.9666725253,0.9558810621,0.9558810621,0.8795526218,0.8795526218,0.7354761238,0.7354761238,0.4438514339,0.4438514339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378355427,0.378355427,0.6859747922,0.6859747922,0.9172270621,0.9172270621,0.9783365425,0.9783365425,0.9784274419,0.9784274419,0.9607475537,0.9607475537,0.9403756129,0.9403756129,0.8939484537,0.8939484537,0.7419226346,0.7419226346,0.454527939,0.454527939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
